gene_id,a.value,m.value,p.value,q.value,rank,estimatedDEG
"GLIPR1",11.7109037731085,0.217747295584894,2.30307146185973e-07,2.20209063622434e-05,169,1
"SVEP1",9.77311823143609,0.384942968812529,2.45936268537485e-07,2.33769656664543e-05,170,1
"LRRFIP1",10.2977052547297,0.258771432518813,2.50521965326374e-07,2.36735932029759e-05,171,1
"MX1",6.2944154834392,1.94426120856823,2.60738254919275e-07,2.44372304116361e-05,172,1
"LDHAP4",8.82806636908921,0.399504447972456,2.61627629260044e-07,2.44372304116361e-05,173,1
"MIR198",10.4158671211604,0.254587619061695,2.72855067653564e-07,2.52422082055376e-05,174,1
"OPTN",10.9805238035148,0.259732079383046,2.73370037500407e-07,2.52422082055376e-05,175,1
"CCL2",5.18027540254088,1.90418216490912,2.78634546341543e-07,2.5582134285983e-05,176,1
"ZNF281",9.06490190757592,0.325082856200147,2.85589837826283e-07,2.60725773414401e-05,177,1
"TMSB4X",14.582721803239,0.249718595978575,2.9716693448423e-07,2.68852673169575e-05,178,1
"PHGDH",9.52687574650061,-0.351751337060589,2.97819348334389e-07,2.68852673169575e-05,179,1
"MAPKAPK3",9.81156615921472,-0.34619769338644,3.01110813367894e-07,2.69905511392275e-05,180,1
"ELN",10.8443317963651,0.254002017557378,3.03937771119743e-07,2.69905511392275e-05,181,1
"STOML2",9.54992350476201,-0.311086193926574,3.03996553458717e-07,2.69905511392275e-05,182,1
"PDK4",6.67155248324667,0.677822318253969,3.1567523808643e-07,2.78135723371227e-05,183,1
"TXNIP",9.21930056714498,0.292032640445241,3.16708788293247e-07,2.78135723371227e-05,184,1
"PHACTR2",10.2282445568768,0.274043479713171,3.29516188425791e-07,2.87819031825533e-05,185,1
"MICAL2",11.3631615377183,0.254547700346777,3.36576330351689e-07,2.92405210868438e-05,186,1
"CYP1B1",10.4892304243339,-0.400483041840145,3.58402205908611e-07,3.09667346682207e-05,187,1
"NABP1",8.84653285485238,0.369256562526571,3.60416885850601e-07,3.09667346682207e-05,188,1
"ACSL4",11.2236320473127,0.24625039948392,3.62195238089839e-07,3.09667346682207e-05,189,1
"CHST2",8.33218604083234,-0.625171008329511,3.65837296083932e-07,3.11134993022119e-05,190,1
"DVL1",9.16360760428661,-0.622307281998811,3.70791232148275e-07,3.13697147658847e-05,191,1
"SCD",11.0649356254754,0.285297796809887,3.88503564181219e-07,3.25902590208241e-05,192,1
"ACADVL",11.499016723585,0.205208697962677,3.90969450800255e-07,3.25902590208241e-05,193,1
"VEGFC",9.40947472018095,0.280228198061545,3.91268658335285e-07,3.25902590208241e-05,194,1
"EPGN",5.86414287130075,-1.00823684879659,3.99635756139233e-07,3.31164829920711e-05,195,1
"NEK7",10.6827521555146,0.318629586586729,4.08813889224834e-07,3.37042022244086e-05,196,1
"NEFM",8.29947259881533,0.620483928842519,4.19106874246868e-07,3.4377400918554e-05,197,1
"KCTD10",10.8122988693942,0.236229033221823,4.27793440804862e-07,3.48599805604471e-05,198,1
"LITAF",9.33436202955128,0.271422357057743,4.29304791851537e-07,3.48599805604471e-05,199,1
"IL6",3.2696639633308,2.7544413049732,4.34885877452415e-07,3.51366044687678e-05,200,1
"SERINC3",10.8336399390355,0.256710457457292,4.47186909648977e-07,3.58605207860715e-05,201,1
"SERINC1",11.9530735383567,0.211719938219355,4.4828425018791e-07,3.58605207860715e-05,202,1
"CRYAB",9.75644562319325,0.264265964503187,4.59649790860575e-07,3.65885762094386e-05,203,1
"GNPDA1",9.4448932424131,-0.245501244741394,4.83493342722873e-07,3.82978868875436e-05,204,1
"GCNT4",7.66349713398288,0.579620405932757,4.99960293483103e-07,3.94090652799681e-05,205,1
"CACNA1A",9.53923651036665,-0.291031128515868,5.03302124691081e-07,3.94798982178795e-05,206,1
"FAT4",10.1637156960916,0.231005457747006,5.10095364114284e-07,3.9819473375472e-05,207,1
"UGP2",11.153044037342,0.219978591396414,5.31048994287389e-07,4.12558687437015e-05,208,1
"ATP2B1",11.3602106168562,0.219970722333361,5.34875465882153e-07,4.13543189147833e-05,209,1
"DSTN",11.9967717214952,0.187827377595399,5.4147523913911e-07,4.16652304249947e-05,210,1
"MAFB",7.96468208331097,-0.49845899776415,5.50196063138759e-07,4.2101250579935e-05,211,1
"C1QTNF1",7.84473909480736,0.581201541906479,5.54133278318541e-07,4.2101250579935e-05,212,1
"CARD10",7.49060603554673,-0.576810865966996,5.54958003188696e-07,4.2101250579935e-05,213,1
"LDLR",10.6865006034159,0.299838866011621,5.61977376612047e-07,4.24345440592246e-05,214,1
"PTMS",11.272805578308,0.282282113656285,5.66899952797067e-07,4.2607145754641e-05,215,1
"PXDN",11.3338052082126,0.200812756609588,5.72007055565083e-07,4.27745853804835e-05,216,1
"FABP3",6.63534916818435,0.80408302801707,5.74421995641124e-07,4.27745853804835e-05,217,1
"GPC4",5.9817666841205,0.937669917895431,6.02132577045402e-07,4.46323867544801e-05,218,1
"RHOC",11.702951081435,0.22437411620888,6.08310167706215e-07,4.4884401826323e-05,219,1
"ETS1",10.3475374624141,0.210800181898472,6.1376383590984e-07,4.49474403765156e-05,220,1
"CAV1",14.3259784721924,0.159130047928018,6.14727664039232e-07,4.49474403765156e-05,221,1
"COL5A2",12.8012110339142,0.190863380672036,6.32690918445044e-07,4.60524889691597e-05,222,1
"MFAP5",11.2933208385962,0.2116327208238,6.4738991314163e-07,4.6715018998993e-05,223,1
"COL8A1",9.64245922175407,0.411355959796857,6.48019395479361e-07,4.6715018998993e-05,224,1
"PLS3",12.1075665272363,0.206321180405102,6.50465949302149e-07,4.6715018998993e-05,225,1
"ALDH3A1",6.67874011984852,-0.955843500827543,6.57420149704234e-07,4.70055407038527e-05,226,1
