"source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank","cellchat.prob","cellchat.pval"
"DermalPapilla","DermalPapilla","COL4A1","SDC1",0.0155865808843999,4536.1,0.0885147202826948,2352,1.50238616007047,1057,0.97089543810586,2275,0.888766860777204,5643,0,11353.5,0.00764567256150701,0
"DermalPapilla","DermalPapilla","COL4A2","CD44",0.804992195189918,14267.7,0.0176754860241459,15465,0.616272972635012,9327,0.0952330142307174,19875,0.910619569351798,3450,0.003,23221.5,0.0255842064218891,0
"DermalPapilla","DermalPapilla","COL4A2","ITGA1_ITGB1",0.0224899838033285,5733.3,0.034529372937836,8328,1.2946506771332,1734,0.777091849036976,3830,0.910977127783013,3421,0,11353.5,0.0128727979397162,0
"DermalPapilla","DermalPapilla","COL4A2","ITGB5",0.0195569576853117,4666.5,0.0767712121488391,2950,1.51940184733786,1013,0.981678754611465,2207,0.887376388674238,5809,0,11353.5,0.0160927248780291,0
"DermalPapilla","DermalPapilla","COL4A2","SDC1",0.0224899838033285,5387.5,0.0869960110510441,2415,1.40559611430094,1344,0.776939257977085,3833,0.86875048577211,7992,0,11353.5,0.00454165238341072,0
"DermalPapilla","DermalPapilla","COL5A1","ITGA1_ITGB1",0.0224899838033285,6994.9,0.0373760534523069,7681,1.00571027551493,3688,0.561145326150043,6465,0.887559125310722,5787,0,11353.5,0.00968576919221264,0
"DermalPapilla","DermalPapilla","COL5A2","ITGA1_ITGB1",0.0224899838033285,6679.3,0.0310753696426498,9279,0.950089654898185,4247,0.672193974563506,5002,0.909885864561442,3515,0,11353.5,0.0115525549143791,0
"DermalPapilla","DermalPapilla","COL6A1","CD44",0.0938372349070703,8275.7,0.0182297488756924,15108,0.653047740149927,8589,0.631017193232427,5544,0.944408112409056,784,0,11353.5,0.0835895446943245,0
"DermalPapilla","DermalPapilla","COL6A1","ITGA1_ITGB1",0.00505457072892638,4549.7,0.0356121351702575,8039,1.33142544464811,1597,1.31287602803869,992,0.944638720356793,767,0,11353.5,0.0433402701190768,0
"DermalPapilla","DermalPapilla","COL6A1","SDC1",0.00135058150137452,3759.5,0.0897240071634258,2294,1.44237088181586,1236,1.31272343697879,993,0.916922832765707,2921,0,11353.5,0.015602549396557,0
"DermalPapilla","DermalPapilla","COL6A2","CD44",0.164497491107512,10341.3,0.0157310257060635,16903,0.460037598907709,13140,0.408264535916711,9404,0.942655381038025,906,0,11353.5,0.0793783987215258,0
"DermalPapilla","DermalPapilla","COL6A2","ITGA1_ITGB1",0.0213670887026607,5186.5,0.0307308354948389,9380,1.13841530340589,2624,1.09012337072297,1683,0.942892820066827,892,0,11353.5,0.0410659713345156,0
"DermalPapilla","DermalPapilla","COL6A2","SDC1",0.00179333533634292,4209.5,0.0774256778172578,2910,1.24936074057364,1958,1.08997077966308,1686,0.914382091859908,3140,0,11353.5,0.0147613398621304,0
"DermalPapilla","DermalPapilla","COL6A3","CD44",0.0939926151136229,11304.1,0.018222765888867,15113,0.425300974387145,14051,0.249629313993883,14073,0.928577829191439,1930,0,11353.5,0.0522109087402502,0
"DermalPapilla","DermalPapilla","COL6A3","ITGA1_ITGB1",0.0224899838033285,5345.5,0.0355984937826326,8042,1.10367867888533,2889,0.931488148800142,2532,0.928869158847752,1911,0,11353.5,0.026631703065742,0
"DermalPapilla","DermalPapilla","COL6A3","SDC1",0.0113968881490253,4672.5,0.0896896379812601,2300,1.21462411605308,2124,0.93133555774025,2536,0.894143149195101,5049,0,11353.5,0.00948146215648899,0
"DermalPapilla","DermalPapilla","COL8A1","ITGA1_ITGB1",0.0224899838033285,5814.3,0.0944110714023748,2128,2.05348956086166,396,0.565425448741976,6400,0.862536782222254,8794,0,11353.5,0.00324957280551589,0
"DermalPapilla","DermalPapilla","COPA","CD74",1,27821.3,0.00461508221086798,29432,-0.186537267813822,31192,-1.11566673561255,32629,0.814247444939654,15070,1,30783.5,0.00113929380316509,0.92
"DermalPapilla","DermalPapilla","CXCL14","CXCR4",1,16641.3,0.0134566642789124,18863,0.254975623494644,19059,-0.505891239779105,30805,0.914581692701723,3126,0,11353.5,0.0171579682320389,0.19
"DermalPapilla","DermalPapilla","DKK2","KREMEN1",0.24144221304906,11715.7,0.040926633173159,6914,0.566075064032156,10472,0.36941180152196,10401,0.775404390289689,19438,0,11353.5,0.00113929380316509,0
"DermalPapilla","DermalPapilla","DKK3","KREMEN1",0.0224899838033285,5395.9,0.0684315726633302,3540,1.64282324590132,779,0.956470527248687,2358,0.861216096833586,8949,0,11353.5,0.00828217466522521,0
"DermalPapilla","DermalPapilla","EDIL3","ITGAV",0.0224899838033285,4978.5,0.0642825888863435,3909,1.77410282821208,608,0.97553973370886,2240,0.878981981466953,6782,0,11353.5,0.00622497762606725,0
