gene_id,a.value,m.value,p.value,q.value,rank,estimatedDEG
"CCND1",6.92093345527753,2.48866776852414,1.52385964925106e-08,5.37356085910558e-06,23,1
"H2AZ1",6.86969160349377,1.16941965895422,1.58726720761272e-08,5.37356085910558e-06,24,1
"SH3KBP1",5.29785919557236,1.23145755833154,1.73035872560686e-08,5.62366585822231e-06,25,1
"TXNRD1",7.4506785540323,1.32820795303937,1.87025590523865e-08,5.72095917079649e-06,26,1
"DDX17",5.78795249612188,-1.17461214695636,1.90111873983391e-08,5.72095917079649e-06,27,1
"WNT5B",5.77522053971925,1.27700155038931,2.20962968033368e-08,6.17641054597698e-06,28,1
"SPP1",4.81627221817026,-5.44826221809104,2.25178070532862e-08,6.17641054597698e-06,29,1
"NABP1",4.07626839181934,-1.60472436263565,2.28052081697612e-08,6.17641054597698e-06,30,1
"ANPEP",6.78782571699799,2.69331056234849,2.44661812060512e-08,6.41250717094084e-06,31,1
"ARRDC4",4.10839549500175,-2.17597557992148,2.61107102378949e-08,6.6296725213405e-06,32,1
"SH3BP4",5.6901565071316,1.17015911239401,3.17647223841287e-08,7.09313960629311e-06,33,1
"ARHGAP28",3.39158078820269,-2.70142788499582,3.25423644502412e-08,7.09313960629311e-06,34,1
"COTL1",6.01348243531541,1.23326858711954,3.29136146413477e-08,7.09313960629311e-06,35,1
"DDIT4",4.13969475981713,-2.07310338869725,3.3878173193484e-08,7.09313960629311e-06,36,1
"PODN",4.64376392742335,-1.55637175866148,3.43325094261958e-08,7.09313960629311e-06,37,1
"G6PD",6.12926694008546,1.40461817727942,3.48666172259156e-08,7.09313960629311e-06,38,1
"AMD1",4.69055432002964,1.40287672194485,3.48761335897115e-08,7.09313960629311e-06,39,1
"FOSL1",5.10987477449058,2.39091008927504,3.49200719079045e-08,7.09313960629311e-06,40,1
"UCN2",2.28273957003304,3.33807111318421,3.99734335176635e-08,7.92156456904916e-06,41,1
"ACTA2",8.4792868105287,-2.6389674844719,4.76506852604646e-08,9.2181385176494e-06,42,1
"AKR1C1",4.95634924536156,4.6235402038192,5.08018999885892e-08,9.42680092426763e-06,43,1
"FERMT2",6.5838493520014,-1.19065569985467,5.10497526975724e-08,9.42680092426763e-06,44,1
"CD44",8.31820351481947,1.3623735317671,5.57038257162955e-08,9.92387885752378e-06,45,1
"CNBP",6.99463608494808,0.923513241483747,5.93110422308144e-08,9.92387885752378e-06,46,1
"MYL9",7.81510479281912,-1.31922872344939,5.95816227800436e-08,9.92387885752378e-06,47,1
"SLC3A2",7.70920617031191,0.837934390695973,5.9887880534624e-08,9.92387885752378e-06,48,1
"HNRNPC",7.61063457759176,0.807024947654834,6.10109156838443e-08,9.92387885752378e-06,49,1
"TNFRSF21",2.76931246482243,2.46940461815086,6.10700237386079e-08,9.92387885752378e-06,50,1
"EIF4A1",7.92108055063112,0.803612231837808,6.48258386799143e-08,1.02059250673508e-05,51,1
"SERPINE1",8.43436411675372,1.61773011571986,6.53179204310451e-08,1.02059250673508e-05,52,1
"PFKFB4",3.00072980254515,2.45558229621055,7.04970641570074e-08,1.08073329485978e-05,53,1
"ADAMTS1",6.16239261543908,2.06649163724037,7.5126346943413e-08,1.11214324474629e-05,54,1
"SULF1",4.35955650073905,1.72957239968449,7.59356672748143e-08,1.11214324474629e-05,55,1
"TOP2A",2.43501618226368,4.01453557082934,7.66523344071286e-08,1.11214324474629e-05,56,1
"GASK1B",4.26000578191381,-1.49449028757836,8.01216571811056e-08,1.14208502560786e-05,57,1
"NETO2",5.30120631830684,3.27828732834246,8.35679905151471e-08,1.1706722809234e-05,58,1
"RAB27B",3.23061713803584,2.60625906251407,8.8281652836503e-08,1.17736942635868e-05,59,1
"RPL22L1",4.16657142169706,1.85320336657009,8.83899275624696e-08,1.17736942635868e-05,60,1
"SRPX",4.62881982410803,1.40554721610925,8.98286076711829e-08,1.17736942635868e-05,61,1
"ECM2",4.34434893223334,-2.11868869435163,9.03284490655097e-08,1.17736942635868e-05,62,1
"ME1",5.94434790176583,1.33082801017987,9.12914139822729e-08,1.17736942635868e-05,63,1
"TNFRSF12A",6.06126656073242,1.12020321798003,9.88485712927969e-08,1.25491350274059e-05,64,1
