"source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank","cellchat.prob","cellchat.pval"
"Lymphatic","Melanocytes","APP","RPSA",0.061537098575124,6552,0.0189323822473204,13004,0.819222281959461,5811,0.617190726942485,5131,0.956238845642775,243,0,8571,0.111957127535137,0
"Lymphatic","Melanocytes","CALM1","PTPRA",0.268364247761744,10172.4,0.012406410002112,17458,0.434703296975069,12532,0.38010778080979,9279,0.915375783868759,3022,0,8571,0.0140805186592547,0
"Lymphatic","Melanocytes","CD99","CD81",0.10930635618625,8295.8,0.0104133550924921,19348,0.675230916201039,7732,0.610308010641892,5227,0.946785980548326,601,0,8571,0.0748182302945626,0
"Lymphatic","Melanocytes","COL4A1","CD44",0.134798107616803,9862.8,0.0153183189297411,15212,0.480150607153639,11453,0.31801504474853,10917,0.913532061839717,3161,0,8571,0.0162763670782097,0
"Lymphatic","Melanocytes","COL4A2","CD44",0.0534145247030438,9219.6,0.0195744927769262,12641,0.550586411880128,9986,0.311101510905232,11116,0.906966740001422,3784,0,8571,0.0103313056917561,0
"Lymphatic","Melanocytes","COL6A2","CD44",1,19873.7,0.00516696208805766,26128,0.0764332721201015,23068,-0.10134374906705,24757,0.906136131470549,3880,0.123,21535.5,0.0103313056917561,0.22
"Lymphatic","Melanocytes","FAM3C","LAMP1",0.346931271327965,14504.4,0.0120155096256389,17780,0.225555055889704,18378,0.148888623908311,16446,0.839482492162224,11347,0,8571,0.00289374485816038,0
"Lymphatic","Melanocytes","FBN1","ITGB1",0.148576868573993,9239.6,0.0148689942724056,15511,0.55335597874258,9914,0.502381860908879,6830,0.891208289551786,5372,0,8571,0.00868650887297117,0
"Lymphatic","Melanocytes","FN1","CD44",0.00765437415334121,4066.2,0.0356431888857571,7065,1.38922937810929,1521,0.957154972757106,2297,0.942259521559571,877,0,8571,0.0733710417933816,0
"Lymphatic","Melanocytes","GNAI2","CAV1",0.10930635618625,7179,0.015316487150108,15217,0.799834078232104,6017,0.641671249169027,4844,0.936881113087765,1246,0,8571,0.0623220045156184,0
"Lymphatic","Melanocytes","GNAI2","EDNRB",0.0064184320357758,3796.4,0.0379976415836267,6620,1.45186571868279,1286,1.32592454679162,882,0.932048101773219,1623,0,8571,0.0459135517321841,0
"Lymphatic","Melanocytes","HLA-A","APLP2",0.296789229761812,10057.6,0.00902837836811366,20877,0.489097581217877,11258,0.420819075394695,8353,0.937029811738967,1229,0,8571,0.0583231483863842,0
"Lymphatic","Melanocytes","HLA-B","CANX",0.462288075592451,10582.4,0.0103022316261743,19464,0.415623140385613,13007,0.311949131362576,11096,0.943984247779677,774,0,8571,0.0630847847299809,0
"Lymphatic","Melanocytes","HSPG2","ITGB1",0.149729887953192,9589.2,0.0148426282648889,15535,0.565989529429322,9655,0.460588683751215,7585,0.879720144114762,6600,0,8571,0.00868650887297117,0
"Lymphatic","Melanocytes","LAMA4","CD44",0.00804152562963341,5384,0.0291415137084592,8656,0.973223449946447,4131,0.705099413093854,4155,0.934858073994688,1407,0,8571,0.060511344764303,0
"Lymphatic","Melanocytes","LAMB1","CD44",0.0489845841207765,8876.6,0.020002730549901,12424,0.601938955080077,8995,0.361244415109387,9742,0.89840319454443,4651,0,8571,0.0103313056917561,0
"Lymphatic","Melanocytes","LAMB2","CD44",0.0440328916912547,9810.4,0.021787243767666,11559,0.490115882659204,11240,0.274358436666952,12162,0.88968224218942,5520,0,8571,0.0103313056917561,0
"Lymphatic","Melanocytes","LAMB2","RPSA",1,16149.8,0.0171726722735589,13995,0.21635635413518,18669,0.0344610918424369,20790,0.90572348002512,3931,0.331,23364,0.0137599195920663,0
"Lymphatic","Melanocytes","LAMC1","CD44",0.0349822937529785,9232.2,0.0221944667863792,11345,0.543151887969923,10159,0.2939415376839,11615,0.900275175344715,4471,0,8571,0.0103313056917561,0
"Lymphatic","Melanocytes","LGALS1","ITGB1",0.482809152142353,12091.2,0.00719723605697502,23267,0.429976752435785,12643,0.178138750152698,15345,0.94645569076793,630,0,8571,0.0733710417933816,0
"Lymphatic","Melanocytes","MDK","NCL",0.093276094866124,9419.8,0.0169378111601006,14132,0.485087516640379,11342,0.368058993289669,9582,0.910128795999376,3472,0,8571,0.0113357937379918,0
"Lymphatic","Melanocytes","MIF","CD44_CD74",1,17690.6,0.00737657580535918,23028,0.0502014436504667,23917,-0.308500119129693,27871,0.89421772710888,5066,0,8571,0.00944347808417123,0.27
"Lymphatic","Melanocytes","MIF","TNFRSF14",0.132291492196374,13409.4,0.0173547400482483,13876,0.336206015381323,15137,0.183549209013664,15155,0.81426139346264,14308,0,8571,0.00182770170677589,0
"Lymphatic","Melanocytes","PKM","CD44",1,19296.5,0.00804777665141475,22172,0.00638145521006876,25225,-0.0665027274545527,23901,0.920916652606328,2517,0.231,22667.5,0.0360739511846209,0.06
"Lymphatic","Melanocytes","S100A4","ERBB3",1,17095.4,0.0209991712093413,11924,0.406148150301846,13211,-0.220307152861713,26903,0.867340381351535,8107,0.706,25332,0.00412449215399251,0
"Lymphatic","Melanocytes","SPTAN1","PTPRA",0.0667951953852207,9735.4,0.0185110095853938,13219,0.503937678129139,10929,0.515418701148693,6598,0.856116113515239,9360,0,8571,0.00412449215399251,0
"Lymphatic","Melanocytes","TGFB1","CAV1",0.206026337570329,12087.6,0.0135431196149667,16559,0.363997118604988,14319,0.199141832403548,14601,0.881768998291932,6388,0,8571,0.00868650887297117,0
"Lymphatic","Melanocytes","TGFB1","ITGB1",0.236972493879831,10396.6,0.0129560105306581,17029,0.489725238344546,11246,0.369824725514521,9539,0.888994919031782,5598,0,8571,0.00868650887297117,0
"Lymphatic","Melanocytes","TIMP1","CD63",0.10930635618625,6510,0.0124623413236324,17420,0.934141652129665,4510,1.06387809955702,1801,0.955918809380523,248,0,8571,0.112641875770364,0
"Lymphatic","Melanocytes","TIMP2","CD44",0.10930635618625,7668,0.0155855644839963,15050,0.682189496692756,7612,0.571991935101785,5699,0.934857652806138,1408,0,8571,0.0542217598070331,0
"Lymphatic","Melanocytes","TIMP2","ITGB1",0.10930635618625,6691,0.0157849770702106,14900,0.877448276644708,5160,0.80403720381319,3295,0.93324107596659,1529,0,8571,0.0459135517321841,0
"Lymphatic","Melanocytes","TIMP3","CD44",0.0415043758751165,5298.2,0.0207881954176539,12019,1.0418920695,3556,1.00807180030081,2059,0.954596445274499,286,0,8571,0.111508658232444,0
"Lymphatic","Melanocytes","VIM","CD44",0.0246830525928783,7875.2,0.0102430137994506,19537,0.658751271669502,7993,0.812132843984674,3244,0.967981813161386,31,0,8571,0.202412816854725,0
"Lymphatic","Melanocytes","VWF","ITGB1",0.00765437415334121,4172.2,0.0513819718131018,4693,1.34881563979044,1712,0.831231497653042,3091,0.917777195272033,2794,0,8571,0.0136981864781027,0
"Lymphatic","Muscle","ADAM10","AXL",0.00765437415334121,5375,0.0604439408518021,3795,1.13468610774707,2846,0.826780071868173,3119,0.863741778132997,8544,0,8571,0.00412449215399251,0
"Lymphatic","Muscle","ADAM10","CD44",0.0721376398160103,9460.4,0.0202603458659259,12294,0.583344147224528,9348,0.234964780372385,13424,0.908078884203404,3665,0,8571,0.0232794436296008,0
"Lymphatic","Muscle","ADAM10","GPNMB",0.816452595682959,16472.5,0.0118618916712239,17938,0.456534190058901,12014,0.0055749318852199,21809,0.823550543459739,13238,0.001,17363.5,0.00412449215399251,0
"Lymphatic","Muscle","ANXA1","ADRA2A",0.00765437415334121,5317.4,0.0561190779302329,4185,0.834217525511232,5644,0.538913072782432,6204,0.926861957852941,1983,0,8571,0.0373334882723875,0
"Lymphatic","Muscle","APOE","SDC2",1,27713.9,0.00231738285675014,29740,-0.275828870125028,30101,-1.11064908945198,30916,0.775502573169398,18296,1,29516.5,0.00115392977115385,0
"Lymphatic","Muscle","APP","ADRA2A",0.000242983548757916,2358.2,0.191491465471378,616,1.92305141138636,468,1.71963864193386,366,0.929886255308353,1770,0,8571,0.0400828967878455,0
"Lymphatic","Muscle","APP","APLP2",0.10930635618625,7329.6,0.0135621115901335,16543,0.921626790053517,4631,0.794824807426849,3376,0.909617349561033,3527,0,8571,0.0103313056917561,0.08
"Lymphatic","Muscle","APP","RPSA",0.0669975589280905,6872.4,0.018493756846751,13227,0.779509671455089,6268,0.54954508975294,6042,0.955745765737685,254,0,8571,0.109518098039773,0
"Lymphatic","Muscle","CALM1","MYLK",0.00765437415334121,3581.6,0.0494206698021222,4899,1.24546395994723,2202,1.10878466834925,1615,0.946546267572009,621,0,8571,0.072728251110011,0
"Lymphatic","Muscle","CALM2","MYLK",0.00765437415334121,4953.2,0.0402171431200595,6240,0.901536574569404,4863,0.786121302770148,3437,0.931567700338643,1655,0,8571,0.0443920243344334,0
"Lymphatic","Muscle","CCL21","ADRA2A",3.47524898228543e-07,1804.6,0.778673669651436,15,5.2904756988598,94,3.88927794079441,2,0.952878465047314,341,0,8571,0.0888857139444129,0
